"REF_DATE","GEO","DGUID","Statistic","Food expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","1921","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","1963","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","1959","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","2222","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","2303","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","2284","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","2458","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","1963","","","","0"
"2023","Canada","2016A000011124","Average expenditure per household","Restaurant meals","Dollars","81","units","0","v54531435","1.1.178","3085","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","256","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","268","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","274","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","253","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","270","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","281","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","305","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","320","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","316","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","226","","","","0"
"2023","Canada","2016A000011124","Average expenditure per household","Restaurant snacks and beverages","Dollars","81","units","0","v54531436","1.1.179","266","","","","0"


